Sensitivity, Specificity, Precision, Accuracy, kappa 
0.1367604, 0.9119306, 0.1295913, 0.8441114, 0.04750291 

GS = 0

{Text = "28868, 0, 301092, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1"}

{Text = "4054, 29185, 271907, 24814, 53999, 0.1404323, 0.9030695, 0.1219652, 0.06983274, 1.010981, 0.8363468, 0.1404323, 0.0969305, 0.1305489"}

{Text = "5403, 23985, 277107, 23465, 47450, 0.1871623, 0.9203399, 0.1838506, 0.1022269, 0.8308508, 0.8561947, 0.1871623, 0.07966004, 0.1854916"}

{Text = "3238, 25384, 275708, 25630, 51014, 0.1121657, 0.9156935, 0.1131298, 0.05968444, 0.8793128, 0.8453934, 0.1121657, 0.08430646, 0.1126457"}

{Text = "5219, 21601, 279491, 23649, 45250, 0.1807884, 0.9282578, 0.1945936, 0.10341, 0.7482679, 0.8628622, 0.1807884, 0.07174219, 0.1874371"}

{Text = "4122, 26521, 274571, 24746, 51267, 0.1427879, 0.9119173, 0.1345169, 0.07441911, 0.9186989, 0.8446266, 0.1427879, 0.08808272, 0.138529"}

{Text = "2849, 20785, 280307, 26019, 46804, 0.09869059, 0.9309679, 0.1205467, 0.05737821, 0.7200014, 0.8581525, 0.09869059, 0.06903206, 0.1085292"}

{Text = "3232, 18729, 282363, 25636, 44365, 0.1119579, 0.9377964, 0.14717, 0.06790344, 0.6487806, 0.8655443, 0.1119579, 0.06220358, 0.1271715"}

{Text = "5391, 20965, 280127, 23477, 44442, 0.1867466, 0.9303701, 0.2045455, 0.1081813, 0.7262366, 0.865311, 0.1867466, 0.06962988, 0.1952412"}

{Text = "2944, 20727, 280365, 25924, 46651, 0.1019814, 0.9311606, 0.1243716, 0.05936082, 0.7179922, 0.8586162, 0.1019814, 0.06883942, 0.1120691"}

{Text = "3802, 23626, 277466, 25066, 48692, 0.1317029, 0.9215323, 0.1386175, 0.07242732, 0.8184149, 0.8524306, 0.1317029, 0.07846771, 0.1350718"} 

{Text = "5332, 21141, 279951, 23536, 44677, 0.1847028, 0.9297856, 0.2014128, 0.1066208, 0.7323334, 0.8645988, 0.1847028, 0.07021442, 0.1926962"}

{Text = "4254, 29111, 271981, 24614, 53725, 0.1473604, 0.9033152, 0.1274989, 0.0733714, 1.008418, 0.8371772, 0.1473604, 0.09668473, 0.136712"}

{Text = "3345, 21301, 279791, 25523, 46824, 0.1158722, 0.9292542, 0.1357218, 0.06667464, 0.7378758, 0.8580919, 0.1158722, 0.07074582, 0.125014"}

{Text = "3279, 21251, 279841, 25589, 46840, 0.113586, 0.9294202, 0.1336731, 0.06542429, 0.7361438, 0.8580434, 0.113586, 0.07057976, 0.1228136"}

{Text = "3395, 24692, 276400, 25473, 50165, 0.1176043, 0.9179918, 0.1208744, 0.06338686, 0.8553416, 0.8479664, 0.1176043, 0.08200816, 0.1192169"}

{Text = "3072, 21319, 279773, 25796, 47115, 0.1064154, 0.9291944, 0.1259481, 0.06121107, 0.7384994, 0.85721, 0.1064154, 0.0708056, 0.1153608"}

{Text = "3532, 26790, 274302, 25336, 52126, 0.12235, 0.9110239, 0.1164831, 0.06345898, 0.9280172, 0.8420233, 0.12235, 0.08897613, 0.1193445"}

{Text = "4366, 28379, 272713, 24502, 52881, 0.1512401, 0.9057464, 0.1333333, 0.07626601, 0.9830608, 0.8397351, 0.1512401, 0.09425358, 0.1417233"}

{Text = "3948, 26517, 274575, 24920, 51437, 0.1367604, 0.9119306, 0.1295913, 0.07128284, 0.9185603, 0.8441114, 0.1367604, 0.08806942, 0.1330794"}

